0,collard greens
1,cheddar cheese
2,spinach
3,fingerling potato
4,baguette
5,kale
6,radish
7,tahini
8,bread
9,chipotle pepper
10,avocado
11,mint
12,beet
13,greek yogurt
14,lentils
15,cabbage
16,catfish
17,farro
18,freekeh
19,green beans
20,winter squash
21,tortilla
22,egg
23,dill
24,sweet potato
25,milk
26,salmon
27,mozzarella
28,feta
29,tomato
30,monterey jack cheese
31,lemon
32,scallion
33,rosemary
34,coconut milk
35,creme fraiche
36,flour
37,chickpeas
38,green chile
39,orzo
40,chives
41,cilantro
42,spaghetti
43,pear
44,flatbread
45,ginger
46,eggplant
47,pita
48,mushrooms
49,cucumber
50,russet potato
51,basmati rice
52,capers
53,gold potato
54,arugula
